CITY,SECTOR_ID,SECTOR_NAME,ENODEBID,ENODEB_NAME,EARFCN,PCI,PSS,SSS,TAC,VENDOR,LONGITUDE,LATITUDE,STYLE,AZIMUTH,HEIGHT,ELECTTILT,MECHTILT,TOTLETILT
sanxia,259776-1,D县富达电杆厂-HLHF-2,259776,D县富达电杆厂-HLHF,38400,13,1,4,14387,华为,112.06966,33.727856,宏站,70,28,6,2,8
sanxia,259776-2,D县富达电杆厂-HLHF-3,259776,D县富达电杆厂-HLHF,38400,12,0,4,14387,华为,112.06966,33.727856,宏站,250,28,6,5,11
sanxia,259777-0,C氏人寿保险-HLHF-1,259777,C氏人寿保险-HLHF,38400,251,2,83,18839,华为,112.05314,33.05851,宏站,40,21,6,5,11
sanxia,259777-1,C氏人寿保险-HLHF-2,259777,C氏人寿保险-HLHF,38400,253,1,84,18839,华为,112.05314,33.05851,宏站,150,30,6,3,9
sanxia,259777-2,C氏人寿保险-HLHF-3,259777,C氏人寿保险-HLHF,38400,252,0,84,18839,华为,112.05314,33.05851,宏站,250,21,6,3,9
sanxia,259778-0,B马华丰机械-HLHF-1,259778,B马华丰机械-HLHF,38400,55,1,18,14419,华为,112.829609,33.757294,宏站,0,33,6,3,9
sanxia,259778-1,B马华丰机械-HLHF-2,259778,B马华丰机械-HLHF,38400,57,0,19,14419,华为,112.829609,33.757294,宏站,120,33,6,3,9
sanxia,259778-2,B马华丰机械-HLHF-3,259778,B马华丰机械-HLHF,38400,56,2,18,14419,华为,112.829609,33.757294,宏站,240,33,6,3,9
sanxia,259779-0,B马千秋小学-HLHF-1,259779,B马千秋小学-HLHF,38400,53,2,17,14419,华为,112.880047,33.742843,宏站,0,33,6,3,9
sanxia,259779-1,B马千秋小学-HLHF-2,259779,B马千秋小学-HLHF,38400,51,0,17,14419,华为,112.880047,33.742843,宏站,120,33,6,3,9
sanxia,259779-2,B马千秋小学-HLHF-3,259779,B马千秋小学-HLHF,38400,52,1,17,14419,华为,112.880047,33.742843,宏站,240,33,6,3,9
sanxia,259780-0,D县瑞林耐火材料厂-HLHF-1,259780,D县瑞林耐火材料厂-HLHF,38400,55,1,18,14387,华为,112.05106,33.685076,宏站,0,33,6,3,9
sanxia,259780-1,D县瑞林耐火材料厂-HLHF-2,259780,D县瑞林耐火材料厂-HLHF,38400,54,0,18,14387,华为,112.05106,33.685076,宏站,120,33,6,3,9
