CITY,SCELL,NCELL,PrC2I9,C2I_Mean,std,SampleCount,WeightedC2I
sanxia,124684-1,15334-129,61,7.45,5.34,11072,675392
sanxia,124684-1,253890-2,53,8.9,1.32,138,7314
sanxia,124684-1,253806-2,51,8.92,2.51,1766,90066
sanxia,124684-1,124684-2,49,9.19,8.86,39596,1940204
sanxia,124684-1,15486-130,47,9.17,2.32,72,3384
sanxia,124684-1,273934-130,42,10.69,8.23,110728,4650576
sanxia,124684-1,124684-0,40,11.25,8.76,658,26320
sanxia,124684-1,259712-1,40,11.08,7.88,888,35520
sanxia,124684-1,124688-2,14,15.22,5.81,3262,45668
sanxia,124684-1,259598-2,9,18.05,6.62,114,1026
sanxia,124684-1,259595-0,8,21.86,8.96,1592,12736
sanxia,124684-1,253909-2,6,12.36,2.18,512,3072
sanxia,124684-1,15485-130,5,17.73,5.23,214,1070
sanxia,124684-1,124898-1,4,22.92,7.76,216,864
sanxia,124684-1,124690-1,3,23.14,7.77,280,840
sanxia,124684-1,124687-1,2,19.31,4.78,174,348
sanxia,124684-1,253818-1,2,25.69,8.2,84,168
sanxia,124684-1,47433-0,1,21.03,5.39,224,224
sanxia,124684-1,253815-2,0,19.36,3.42,148,0
sanxia,124684-1,253940-1,0,18.35,2.37,52,0
sanxia,124684-2,15484-130,95,2.77,3.86,130,12350
sanxia,124684-2,15116-130,85,6.3,2.57,160,13600
sanxia,124684-2,124688-1,83,3.54,5.81,52,4316
sanxia,124684-2,253806-0,81,6.53,2.87,214,17334
sanxia,124684-2,273933-128,81,4.81,4.8,666,53946
sanxia,124684-2,124684-1,78,5.02,5.09,110261,8600358
sanxia,124684-2,15484-129,74,5.84,4.81,7888,583712
sanxia,124684-2,15113-130,69,7.44,3.11,164,11316
sanxia,124684-2,253934-2,65,7.78,3.15,330,21450
sanxia,124684-2,15484-128,63,7.02,5.76,9298,585774
sanxia,124684-2,124684-0,59,7.73,5.37,5464,322376
sanxia,124684-2,259712-1,57,8.07,5.42,21348,1216836
sanxia,124684-2,273934-130,57,8.02,5.91,214479,12225303
sanxia,124684-2,124687-1,49,9.11,6.39,2940,144060
sanxia,124684-2,253928-1,49,9.06,2.84,70,3430
